Timestamp,TA46-0154 Building Electric Meter -2 Real Power Phase C,TA46-0154 Building Electric Meter -2 Voltage Phase A-N,TA46-0154 Building Electric Meter -1 cumulative energy register 1,TA46-0154 Building Electric Meter -2 Reactive Power Phase C,"TA46-0154 Building Electric Meter -2 Total Real Power ",TA46-0154 Building Electric Meter -2 Voltage Phase B-N,TA46-0154 Building Electric Meter -1 Real Power Phase A,TA46-0154 Building Electric Meter -1 Cumulative Energy,TA46-0154 Building Electric Meter -1 cached Consumption,TA46-0154 Building Electric Meter -2 energy imported,TA46-0154 Building Electric Meter -1 Real Power Phase B,TA46-0154 Building Electric Meter -1 energy imported,TA46-0154 Building Electric Meter -1 Reactive Power Phase B,TA46-0154 Virtual Meters Total HVAC Power,TA46-0154 Building Electric Meter -2 cached Consumption,TA46-0154 Building Electric Meter -2 Real Power Phase A,TA46-0154 Building Electric Meter -1 Voltage Phase B-N,TA46-0154 Building Electric Meter -1 Voltage Phase C-N,TA46-0154 Building Electric Meter -2 Real Power Phase B,TA46-0154 Building Electric Meter -2 Voltage Phase C-N,TA46-0154 Building Electric Meter -1 Voltage Phase A-N,TA46-0154 Building Electric Meter -1 Reactive Power Phase A,"TA46-0154 Building Electric Meter -1 Total Real Power ",TA46-0154 Building Electric Meter -2 cumulative elec energy,TA46-0154 Building Electric Meter -2 Reactive Power Phase A,TA46-0154 Building Electric Meter -1 Reactive Power Phase C,TA46-0154 Building Electric Meter -2 Consumption,TA46-0154 Building Electric Meter -1 Real Power Phase C,TA46-0154 Building Electric Meter -1 Consumption,TA46-0154 Building Electric Meter -2 Reactive Power Phase B
2021-05-29T08:45:00-06:00 Denver,"","","","","","","","","","","","","",79.08025412072037kW,"","","","","","","","","","","","","","","",""
2021-05-29T08:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T08:55:00-06:00 Denver,"","","","","","","","","","","","","",9.677681932161093kW,"","","","","","","","","","","","","","","",""
2021-05-29T09:00:00-06:00 Denver,"","","","","","","","","","","","","",79.06724890272618kW,"","","","","","","","","","","","","","",39kWh,""
2021-05-29T09:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T09:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T09:15:00-06:00 Denver,"","","","","","","","","","","","","",74.04890552272619kW,"","","","","","","","","","","","","","","",""
2021-05-29T09:20:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T09:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T09:30:00-06:00 Denver,"","","","","","","","","","","","","",72.19332922272618kW,"","","","","","","","","","","","","","","",""
2021-05-29T09:35:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T09:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T09:45:00-06:00 Denver,"","","","","","","","","","","","","",72.9334338400602kW,"","","","","","","","","","","","","","","",""
2021-05-29T09:50:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T09:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T10:00:00-06:00 Denver,"","","","","","","","","","","","","",74.08676399294366kW,"","","","","","","","","","","","","","",45kWh,""
2021-05-29T10:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T10:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T10:15:00-06:00 Denver,"","","","","","","","","","","","","",74.45035129294365kW,"","","","","","","","","","","","","","","",""
2021-05-29T10:20:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T10:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T10:30:00-06:00 Denver,"","","","","","","","","","","","","",74.49515082280436kW,"","","","","","","","","","","","","","","",""
2021-05-29T10:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T10:40:00-06:00 Denver,"","","","","","","","","","","","","",9.746370928413091kW,"","","","","","","","","","","","","","","",""
2021-05-29T10:45:00-06:00 Denver,"","","","","","","","","","","","","",85.20988014563302kW,"","","","","","","","","","","","","","","",""
2021-05-29T10:50:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T10:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T11:00:00-06:00 Denver,"","","","","","","","","","","","","",84.86491990695927kW,"","","","","","","","","","","","","","",43kWh,""
2021-05-29T11:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T11:10:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T11:15:00-06:00 Denver,"","","","","","","","","","","","","",85.2882015319308kW,"","","","","","","","","","","","","","","",""
2021-05-29T11:20:00-06:00 Denver,"","","","","","","","","","","","","",9.79150989375kW,"","","","","","","","","","","","","","","",""
2021-05-29T11:25:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T11:30:00-06:00 Denver,"","","","","","","","","","","","","",85.60790954734746kW,"","","","","","","","","","","","","","","",""
2021-05-29T11:35:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T11:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T11:45:00-06:00 Denver,"","","","","","","","","","","","","",85.58030927294365kW,"","","","","","","","","","","","","","","",""
2021-05-29T11:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T11:55:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T12:00:00-06:00 Denver,"","","","","","","","","","","","","",91.99283812563301kW,"","","","","","","","","","","","","","",41kWh,""
2021-05-29T12:05:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T12:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T12:15:00-06:00 Denver,"","","","","","","","","","","","","",85.68662896000001kW,"","","","","","","","","","","","","","","",""
2021-05-29T12:20:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T12:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T12:30:00-06:00 Denver,"","","","","","","","","","","","","",85.85327839544885kW,"","","","","","","","","","","","","","","",""
2021-05-29T12:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T12:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T12:45:00-06:00 Denver,"","","","","","","","","","","","","",80.66660806622258kW,"","","","","","","","","","","","","","","",""
2021-05-29T12:50:00-06:00 Denver,"","","","","","","","","","","","","",20.436280000000004kW,"","","","","","","","","","","","","","","",""
2021-05-29T12:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T13:00:00-06:00 Denver,"","","","","","","","","","","","","",75.38417820998632kW,"","","","","","","","","","","","","","",45kWh,""
2021-05-29T13:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T13:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T13:15:00-06:00 Denver,"","","","","","","","","","","","","",80.70045816665136kW,"","","","","","","","","","","","","","","",""
2021-05-29T13:20:00-06:00 Denver,"","","","","","","","","","","","","",20.436280000000004kW,"","","","","","","","","","","","","","","",""
2021-05-29T13:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T13:30:00-06:00 Denver,"","","","","","","","","","","","","",76.01353075088446kW,"","","","","","","","","","","","","","","",""
2021-05-29T13:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T13:40:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T13:45:00-06:00 Denver,"","","","","","","","","","","","","",98.27931396047906kW,"","","","","","","","","","","","","","","",""
2021-05-29T13:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T13:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T14:00:00-06:00 Denver,"","","","","","","","","","","","","",76.74155396047907kW,"","","","","","","","","","","","","","",46kWh,""
2021-05-29T14:05:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T14:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T14:15:00-06:00 Denver,"","","","","","","","","","","","","",72.73250473kW,"","","","","","","","","","","","","","","",""
2021-05-29T14:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T14:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T14:30:00-06:00 Denver,"","","","","","","","","","","","","",84.9875169676554kW,"","","","","","","","","","","","","","","",""
2021-05-29T14:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T14:40:00-06:00 Denver,"","","","","","","","","","","","","",16.916670000000003kW,"","","","","","","","","","","","","","","",""
2021-05-29T14:45:00-06:00 Denver,"","","","","","","","","","","","","",71.9659383675956kW,"","","","","","","","","","","","","","","",""
2021-05-29T14:50:00-06:00 Denver,"","","","","","","","","","","","","",20.436280000000004kW,"","","","","","","","","","","","","","","",""
2021-05-29T14:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T15:00:00-06:00 Denver,"","","","","","","","","","","","","",78.50266756047907kW,"","","","","","","","","","","","","","",41kWh,""
2021-05-29T15:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T15:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T15:15:00-06:00 Denver,"","","","","","","","","","","","","",73.10529118765538kW,"","","","","","","","","","","","","","","",""
2021-05-29T15:20:00-06:00 Denver,"","","","","","","","","","","","","",20.436280000000004kW,"","","","","","","","","","","","","","","",""
2021-05-29T15:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T15:30:00-06:00 Denver,"","","","","","","","","","","","","",82.11305758765539kW,"","","","","","","","","","","","","","","",""
2021-05-29T15:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T15:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T15:45:00-06:00 Denver,"","","","","","","","","","","","","",83.50465658665135kW,"","","","","","","","","","","","","","","",""
2021-05-29T15:50:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T15:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T16:00:00-06:00 Denver,"","","","","","","","","","","","","",92.23349406765537kW,"","","","","","","","","","","","","","",42kWh,""
2021-05-29T16:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T16:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T16:15:00-06:00 Denver,"","","","","","","","","","","","","",84.99413626665135kW,"","","","","","","","","","","","","","","",""
2021-05-29T16:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T16:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T16:30:00-06:00 Denver,"","","","","","","","","","","","","",78.49307863kW,"","","","","","","","","","","","","","","",""
2021-05-29T16:35:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T16:40:00-06:00 Denver,"","","","","","","","","","","","","",20.436280000000004kW,"","","","","","","","","","","","","","","",""
2021-05-29T16:45:00-06:00 Denver,"","","","","","","","","","","","","",72.36345044047906kW,"","","","","","","","","","","","","","","",""
2021-05-29T16:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T16:55:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T17:00:00-06:00 Denver,"","","","","","","","","","","","","",84.26073214047906kW,"","","","","","","","","","","","","","",43kWh,""
2021-05-29T17:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T17:10:00-06:00 Denver,"","","","","","","","","","","","","",25.82072kW,"","","","","","","","","","","","","","","",""
2021-05-29T17:15:00-06:00 Denver,"","","","","","","","","","","","","",87.50411688665136kW,"","","","","","","","","","","","","","","",""
2021-05-29T17:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T17:25:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T17:30:00-06:00 Denver,"","","","","","","","","","","","","",72.35386150999999kW,"","","","","","","","","","","","","","","",""
2021-05-29T17:35:00-06:00 Denver,"","","","","","","","","","","","","",20.436280000000004kW,"","","","","","","","","","","","","","","",""
2021-05-29T17:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T17:45:00-06:00 Denver,"","","","","","","","","","","","","",78.49954687809763kW,"","","","","","","","","","","","","","","",""
2021-05-29T17:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T17:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T18:00:00-06:00 Denver,"","","","","","","","","","","","","",73.11191048665135kW,"","","","","","","","","","","","","","",43kWh,""
2021-05-29T18:05:00-06:00 Denver,"","","","","","","","","","","","","",20.436280000000004kW,"","","","","","","","","","","","","","","",""
2021-05-29T18:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T18:15:00-06:00 Denver,"","","","","","","","","","","","","",76.73196503kW,"","","","","","","","","","","","","","","",""
2021-05-29T18:20:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T18:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T18:30:00-06:00 Denver,"","","","","","","","","","","","","",77.77013509818518kW,"","","","","","","","","","","","","","","",""
2021-05-29T18:35:00-06:00 Denver,"","","","","","","","","","","","","",20.436280000000004kW,"","","","","","","","","","","","","","","",""
2021-05-29T18:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T18:45:00-06:00 Denver,"","","","","","","","","","","","","",77.75961752521415kW,"","","","","","","","","","","","","","","",""
2021-05-29T18:50:00-06:00 Denver,"","","","","","","","","","","","","",20.436280000000004kW,"","","","","","","","","","","","","","","",""
2021-05-29T18:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T19:00:00-06:00 Denver,"","","","","","","","","","","","","",82.12287327809763kW,"","","","","","","","","","","","","","",38kWh,""
2021-05-29T19:05:00-06:00 Denver,"","","","","","","","","","","","","",20.436280000000004kW,"","","","","","","","","","","","","","","",""
2021-05-29T19:10:00-06:00 Denver,"","","","","","","","","","","","","",20.436280000000004kW,"","","","","","","","","","","","","","","",""
2021-05-29T19:15:00-06:00 Denver,"","","","","","","","","","","","","",82.48625242521418kW,"","","","","","","","","","","","","","","",""
2021-05-29T19:20:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T19:25:00-06:00 Denver,"","","","","","","","","","","","","",20.436280000000004kW,"","","","","","","","","","","","","","","",""
2021-05-29T19:30:00-06:00 Denver,"","","","","","","","","","","","","",78.14367075612158kW,"","","","","","","","","","","","","","","",""
2021-05-29T19:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T19:40:00-06:00 Denver,"","","","","","","","","","","","","",20.436280000000004kW,"","","","","","","","","","","","","","","",""
2021-05-29T19:45:00-06:00 Denver,"","","","","","","","","","","","","",78.1135972876554kW,"","","","","","","","","","","","","","","",""
2021-05-29T19:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T19:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T20:00:00-06:00 Denver,"","","","","","","","","","","","","",88.40475498971898kW,"","","","","","","","","","","","","","",39kWh,""
2021-05-29T20:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T20:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T20:15:00-06:00 Denver,"","","","","","","","","","","","","",72.54027513581364kW,"","","","","","","","","","","","","","","",""
2021-05-29T20:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T20:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T20:30:00-06:00 Denver,"","","","","","","","","","","","","",73.68280890272618kW,"","","","","","","","","","","","","","","",""
2021-05-29T20:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T20:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T20:45:00-06:00 Denver,"","","","","","","","","","","","","",73.28501497581365kW,"","","","","","","","","","","","","","","",""
2021-05-29T20:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T20:55:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T21:00:00-06:00 Denver,"","","","","","","","","","","","","",72.88403180717675kW,"","","","","","","","","","","","","","",32kWh,""
2021-05-29T21:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T21:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T21:15:00-06:00 Denver,"","","","","","","","","","","","","",73.68280890272618kW,"","","","","","","","","","","","","","","",""
2021-05-29T21:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T21:25:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T21:30:00-06:00 Denver,"","","","","","","","","","","","","",72.92370475851646kW,"","","","","","","","","","","","","","","",""
2021-05-29T21:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T21:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T21:45:00-06:00 Denver,"","","","","","","","","","","","","",78.30814475851648kW,"","","","","","","","","","","","","","","",""
2021-05-29T21:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T21:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T22:00:00-06:00 Denver,"","","","","","","","","","","","","",79.04786595851648kW,"","","","","","","","","","","","","","",34kWh,""
2021-05-29T22:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T22:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T22:15:00-06:00 Denver,"","","","","","","","","","","","","",76.52193795851647kW,"","","","","","","","","","","","","","","",""
2021-05-29T22:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T22:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T22:30:00-06:00 Denver,"","","","","","","","","","","","","",74.33314692004674kW,"","","","","","","","","","","","","","","",""
2021-05-29T22:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T22:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T22:45:00-06:00 Denver,"","","","","","","","","","","","","",72.13427332717676kW,"","","","","","","","","","","","","","","",""
2021-05-29T22:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T22:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T23:00:00-06:00 Denver,"","","","","","","","","","","","","",78.27850361849309kW,"","","","","","","","","","","","","","",35kWh,""
2021-05-29T23:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T23:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T23:15:00-06:00 Denver,"","","","","","","","","","","","","",72.89406361849309kW,"","","","","","","","","","","","","","","",""
2021-05-29T23:20:00-06:00 Denver,"","","","","","","","","","","","","",12.359620000000001kW,"","","","","","","","","","","","","","","",""
2021-05-29T23:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T23:30:00-06:00 Denver,"","","","","","","","","","","","","",72.85348361kW,"","","","","","","","","","","","","","","",""
2021-05-29T23:35:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T23:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-29T23:45:00-06:00 Denver,"","","","","","","","","","","","","",73.23485706004675kW,"","","","","","","","","","","","","","","",""
2021-05-29T23:50:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-29T23:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-30T00:00:00-06:00 Denver,"","",NA,"","","",NA,"","","",NA,"",NA,82.33869886999999kW,"","",NA,NA,"","",NA,NA,NA,"","",NA,"",NA,33kWh,""
2021-05-30T00:05:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-30T00:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-30T00:15:00-06:00 Denver,"","","","","","","","","","","","","",78.62948005139992kW,"","","","","","","","","","","","","","","",""
2021-05-30T00:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-30T00:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-30T00:30:00-06:00 Denver,"","","","","","","","","","","","","",78.63958706717675kW,"","","","","","","","","","","","","","","",""
2021-05-30T00:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-30T00:40:00-06:00 Denver,"","","","","","","","","","","","","",16.916670000000003kW,"","","","","","","","","","","","","","","",""
2021-05-30T00:45:00-06:00 Denver,"","","","","","","","","","","","","",73.29482001851648kW,"","","","","","","","","","","","","","","",""
2021-05-30T00:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-30T00:55:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-30T01:00:00-06:00 Denver,"","","","","","","","","","","","","",73.24504005139993kW,"","","","","","","","","","","","","","",30kWh,""
2021-05-30T01:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-30T01:10:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-30T01:15:00-06:00 Denver,"","","","","","","","","","","","","",73.25514706717675kW,"","","","","","","","","","","","","","","",""
2021-05-30T01:20:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-30T01:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-30T01:30:00-06:00 Denver,"","","","","","","","","","","","","",73.23485706004675kW,"","","","","","","","","","","","","","","",""
2021-05-30T01:35:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-30T01:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-30T01:45:00-06:00 Denver,"","","","","","","","","","","","","",73.24504005139993kW,"","","","","","","","","","","","","","","",""
2021-05-30T01:50:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-30T01:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-30T02:00:00-06:00 Denver,"","","","","","","","","","","","","",73.21426509426kW,"","","","","","","","","","","","","","",30kWh,""
2021-05-30T02:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-30T02:10:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-30T02:15:00-06:00 Denver,"","","","","","","","","","","","","",73.23485706004675kW,"","","","","","","","","","","","","","","",""
2021-05-30T02:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
