Timestamp,TA46-0154 Building Electric Meter -2 Real Power Phase C,TA46-0154 Building Electric Meter -2 Voltage Phase A-N,TA46-0154 Building Electric Meter -1 cumulative energy register 1,TA46-0154 Building Electric Meter -2 Reactive Power Phase C,"TA46-0154 Building Electric Meter -2 Total Real Power ",TA46-0154 Building Electric Meter -2 Voltage Phase B-N,TA46-0154 Building Electric Meter -1 Real Power Phase A,TA46-0154 Building Electric Meter -1 Cumulative Energy,TA46-0154 Building Electric Meter -1 cached Consumption,TA46-0154 Building Electric Meter -2 energy imported,TA46-0154 Building Electric Meter -1 Real Power Phase B,TA46-0154 Building Electric Meter -1 energy imported,TA46-0154 Building Electric Meter -1 Reactive Power Phase B,TA46-0154 Virtual Meters Total HVAC Power,TA46-0154 Building Electric Meter -2 cached Consumption,TA46-0154 Building Electric Meter -2 Real Power Phase A,TA46-0154 Building Electric Meter -1 Voltage Phase B-N,TA46-0154 Building Electric Meter -1 Voltage Phase C-N,TA46-0154 Building Electric Meter -2 Real Power Phase B,TA46-0154 Building Electric Meter -2 Voltage Phase C-N,TA46-0154 Building Electric Meter -1 Voltage Phase A-N,TA46-0154 Building Electric Meter -1 Reactive Power Phase A,"TA46-0154 Building Electric Meter -1 Total Real Power ",TA46-0154 Building Electric Meter -2 cumulative elec energy,TA46-0154 Building Electric Meter -2 Reactive Power Phase A,TA46-0154 Building Electric Meter -1 Reactive Power Phase C,TA46-0154 Building Electric Meter -2 Consumption,TA46-0154 Building Electric Meter -1 Real Power Phase C,TA46-0154 Building Electric Meter -1 Consumption,TA46-0154 Building Electric Meter -2 Reactive Power Phase B
2021-05-23T02:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T02:55:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T03:00:00-06:00 Denver,"","","","","","","","","","","","","",72.66184219119236kW,"","","","","","","","","","","","","","",28kWh,""
2021-05-23T03:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T03:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T03:15:00-06:00 Denver,"","","","","","","","","","","","","",72.73852039159401kW,"","","","","","","","","","","","","","","",""
2021-05-23T03:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T03:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T03:30:00-06:00 Denver,"","","","","","","","","","","","","",78.30383105601129kW,"","","","","","","","","","","","","","","",""
2021-05-23T03:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T03:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T03:45:00-06:00 Denver,"","","","","","","","","","","","","",73.0300729875451kW,"","","","","","","","","","","","","","","",""
2021-05-23T03:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T03:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T04:00:00-06:00 Denver,"","","","","","","","","","","","","",84.79032784929022kW,"","","","","","","","","","","","","","",29kWh,""
2021-05-23T04:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T04:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T04:15:00-06:00 Denver,"","","","","","","","","","","","","",72.79392628kW,"","","","","","","","","","","","","","","",""
2021-05-23T04:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T04:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T04:30:00-06:00 Denver,"","","","","","","","","","","","","",78.19351628121576kW,"","","","","","","","","","","","","","","",""
2021-05-23T04:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T04:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T04:45:00-06:00 Denver,"","","","","","","","","","","","","",72.88029071544884kW,"","","","","","","","","","","","","","","",""
2021-05-23T04:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T04:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T05:00:00-06:00 Denver,"","","","","","","","","","","","","",73.074075753312kW,"","","","","","","","","","","","","","",29kWh,""
2021-05-23T05:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T05:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T05:15:00-06:00 Denver,"","","","","","","","","","","","","",73.12298088661431kW,"","","","","","","","","","","","","","","",""
2021-05-23T05:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T05:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T05:30:00-06:00 Denver,"","","","","","","","","","","","","",73.13940488484582kW,"","","","","","","","","","","","","","","",""
2021-05-23T05:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T05:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T05:45:00-06:00 Denver,"","","","","","","","","","","","","",73.12298088661431kW,"","","","","","","","","","","","","","","",""
2021-05-23T05:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T05:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T06:00:00-06:00 Denver,"","","","","","","","","","","","","",73.14187772315495kW,"","","","","","","","","","","","","","",29kWh,""
2021-05-23T06:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T06:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T06:15:00-06:00 Denver,"","","","","","","","","","","","","",73.16989887585423kW,"","","","","","","","","","","","","","","",""
2021-05-23T06:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T06:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T06:30:00-06:00 Denver,"","","","","","","","","","","","","",73.18070758214654kW,"","","","","","","","","","","","","","","",""
2021-05-23T06:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T06:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T06:45:00-06:00 Denver,"","","","","","","","","","","","","",73.17584798079689kW,"","","","","","","","","","","","","","","",""
2021-05-23T06:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
